CHR	START	END	QVAL_LTR	CHR_OVERLAP	START_GENE	END_GENE	GENE_ID	GENE_NAME	NT_OVERLAP

chr2L	499719	499720	0.038673216	chr2L	476220	540560	FBgn0003963	ush	1

chr2L	645185	645186	5.79E-07	chr2L	640013	714983	FBgn0284247	ds	1

chr2L	838002	838003	0.026840972	chr2L	833584	851071	FBgn0020304	drongo	1

chr2L	842783	842784	0.028550903	chr2L	833584	851071	FBgn0020304	drongo	1

chr2L	893877	893878	0.022089924	.	-1	-1		.	0

chr2L	894575	894576	0.001140517	.	-1	-1		.	0

chr2L	904058	904059	0.013829747	chr2L	904029	904347	FBgn0266799	lncRNA:CR45261	1

chr2L	939372	939373	0.011850473	chr2L	922793	958098	FBgn0028481	CG4341	1

chr2L	948618	948619	0.049682145	chr2L	922793	958098	FBgn0028481	CG4341	1

chr2L	959604	959605	0.000621173	.	-1	-1		.	0

chr2L	1008229	1008230	0.036425106	.	-1	-1		.	0

chr2L	1032141	1032142	0.010332919	chr2L	1008378	1048053	FBgn0031294	IA-2	1

chr2L	1091326	1091327	0.02911405	chr2L	1083091	1102504	FBgn0031299	CG4629	1

chr2L	1340464	1340465	0.021313053	.	-1	-1		.	0

chr2L	1449521	1449522	0.022867942	.	-1	-1		.	0

chr2L	1459463	1459464	3.43E-08	.	-1	-1		.	0

chr2L	1459470	1459471	0.016106277	.	-1	-1		.	0

chr2L	1548771	1548772	0.024071613	.	-1	-1		.	0

chr2L	1613053	1613054	0.037316725	chr2L	1612429	1614160	FBgn0021906	RFeSP	1

chr2L	1714873	1714874	0.041021598	chr2L	1711302	1715851	FBgn0086698	frtz	1

chr2L	1872078	1872079	0.019633502	chr2L	1858609	1881480	FBgn0051663	CG31663	1

chr2L	1946369	1946370	0.000766421	chr2L	1945815	1946728	FBgn0053673	CG33673	1

chr2L	1952358	1952359	0.042941914	chr2L	1950239	1970362	FBgn0031375	erm	1

chr2L	2045969	2045970	0.000543002	chr2L	2045494	2048054	FBgn0028952	Kebab	1

chr2L	2121566	2121567	0.047684896	.	-1	-1		.	0

